"PMID","Feature","Present"
"30007990","Pancreas",TRUE
"30007990","Ampulla",FALSE
"30007990","BileDuct",FALSE
"30007990","Gallbladder",FALSE
"30007990","Neuroendocrine",FALSE
"30007990","Morphology",TRUE
"30007990","IHC",FALSE
"30007990","Molecular",FALSE
"30007990","Cytology",FALSE
"30007990","Staging",TRUE
"30007990","Preneoplastic",FALSE
"30007990","Microenvironment",FALSE
"30007990","SPN",FALSE
"30007990","AnalogueTumors",FALSE
"30007990","Pancreattis",FALSE
"30007990","Benign",FALSE
"30007990","ExperimentalAnimal",FALSE
"30007990","TechniquesMethods",FALSE
"30007990","Epidemiology",FALSE
"30007990","Screening",FALSE
"30007990","RiskFactors",FALSE
"30007990","SEER",FALSE
"30007990","Oncomine",FALSE
"30007990","TCGA",FALSE
"30007990","CaseReport",FALSE
"30007990","CaseSeries",FALSE
"30629030","Pancreas",TRUE
"30629030","Ampulla",FALSE
"30629030","BileDuct",FALSE
"30629030","Gallbladder",FALSE
"30629030","Neuroendocrine",FALSE
"30629030","Morphology",FALSE
"30629030","IHC",FALSE
"30629030","Molecular",FALSE
"30629030","Cytology",FALSE
"30629030","Staging",FALSE
"30629030","Preneoplastic",FALSE
"30629030","Microenvironment",TRUE
"30629030","SPN",FALSE
"30629030","AnalogueTumors",FALSE
"30629030","Pancreattis",FALSE
"30629030","Benign",FALSE
"30629030","ExperimentalAnimal",FALSE
"30629030","TechniquesMethods",FALSE
"30629030","Epidemiology",FALSE
"30629030","Screening",FALSE
"30629030","RiskFactors",FALSE
"30629030","SEER",FALSE
"30629030","Oncomine",FALSE
"30629030","TCGA",FALSE
"30629030","CaseReport",FALSE
"30629030","CaseSeries",FALSE
"31002791","Pancreas",TRUE
"31002791","Ampulla",FALSE
"31002791","BileDuct",FALSE
"31002791","Gallbladder",FALSE
"31002791","Neuroendocrine",FALSE
"31002791","Morphology",FALSE
"31002791","IHC",FALSE
"31002791","Molecular",TRUE
"31002791","Cytology",FALSE
"31002791","Staging",FALSE
"31002791","Preneoplastic",FALSE
"31002791","Microenvironment",FALSE
"31002791","SPN",FALSE
"31002791","AnalogueTumors",FALSE
"31002791","Pancreattis",FALSE
"31002791","Benign",FALSE
"31002791","ExperimentalAnimal",FALSE
"31002791","TechniquesMethods",FALSE
"31002791","Epidemiology",FALSE
"31002791","Screening",FALSE
"31002791","RiskFactors",FALSE
"31002791","SEER",FALSE
"31002791","Oncomine",FALSE
"31002791","TCGA",FALSE
"31002791","CaseReport",FALSE
"31002791","CaseSeries",FALSE
"30999719","Pancreas",TRUE
"30999719","Ampulla",FALSE
"30999719","BileDuct",FALSE
"30999719","Gallbladder",FALSE
"30999719","Neuroendocrine",TRUE
"30999719","Morphology",FALSE
"30999719","IHC",FALSE
"30999719","Molecular",FALSE
"30999719","Cytology",FALSE
"30999719","Staging",TRUE
"30999719","Preneoplastic",FALSE
"30999719","Microenvironment",FALSE
"30999719","SPN",FALSE
"30999719","AnalogueTumors",FALSE
"30999719","Pancreattis",FALSE
"30999719","Benign",FALSE
"30999719","ExperimentalAnimal",FALSE
"30999719","TechniquesMethods",FALSE
"30999719","Epidemiology",FALSE
"30999719","Screening",FALSE
"30999719","RiskFactors",FALSE
"30999719","SEER",FALSE
"30999719","Oncomine",FALSE
"30999719","TCGA",FALSE
"30999719","CaseReport",FALSE
"30999719","CaseSeries",FALSE
"30986801","Pancreas",TRUE
"30986801","Ampulla",FALSE
"30986801","BileDuct",FALSE
"30986801","Gallbladder",FALSE
"30986801","Neuroendocrine",FALSE
"30986801","Morphology",TRUE
"30986801","IHC",FALSE
"30986801","Molecular",FALSE
"30986801","Cytology",FALSE
"30986801","Staging",FALSE
"30986801","Preneoplastic",TRUE
"30986801","Microenvironment",FALSE
"30986801","SPN",FALSE
"30986801","AnalogueTumors",FALSE
"30986801","Pancreattis",FALSE
"30986801","Benign",FALSE
"30986801","ExperimentalAnimal",FALSE
